"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Feb 22, 2022 1:39:03 PM PST","15513157721","Order","112-4122058-3015402","76-0HZJ-EEFIB","Ez GunsSling Universal Non-Swivel Gunsling for Rifles,Shotguns and Favorite Firearm (Woodgrain Brown)","1","amazon.com","Standard Orders","Amazon","LOCKPORT","NY","14094-1926","MarketplaceFacilitator","26.95","2.16","0","0","0","0","0","0","0","0","-2.16","-4.04","-5.14","0","0","17.77"
"Feb 22, 2022 3:41:57 PM PST","15513157721","Order","114-2580351-0824220","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","UNION","MS","39365","MarketplaceFacilitator","26.95","1.89","7.17","0.50","0","0","0","0","0","0","-2.39","-4.04","-12.31","0","0","17.77"
"Feb 22, 2022 4:59:35 PM PST","15513157721","Order","113-6585183-2792249","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","VANCOUVER","WA","98661-2758","MarketplaceFacilitator","26.95","2.26","0","0","0","0","0","0","0","0","-2.26","-4.04","-5.14","0","0","17.77"
"Feb 22, 2022 5:22:07 PM PST","15513157721","Order","112-3118630-1064202","10-LYV7-1U7J","Ez GunsSling Universal Non-Swivel Gunsling for Rifles,Shotguns and Favorite Firearm (Game Camouflage)","1","amazon.com","Standard Orders","Amazon","MURRIETA","CA","92562-8700","MarketplaceFacilitator","26.95","2.09","0","0","0","0","0","0","0","0","-2.09","-4.04","-3.07","0","0","19.84"
"Feb 22, 2022 6:06:55 PM PST","15513157721","Order","113-3232703-9709836","10-LYV7-1U7J","Ez GunsSling Universal Non-Swivel Gunsling for Rifles,Shotguns and Favorite Firearm (Game Camouflage)","1","amazon.com","Standard Orders","Amazon","NEWPORT","WA","99156-7702","MarketplaceFacilitator","26.95","2.08","0","0","0","0","0","0","0","0","-2.08","-4.04","-3.07","0","0","19.84"
"Feb 22, 2022 9:53:28 PM PST","15513157721",,"415a72c4-720f-44e6-b90c-61741f4d6063","","Save 8% on Coupon trial EZ GunsSling","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Feb 22, 2022 10:31:26 PM PST","15513157721","Order","112-4955515-8429831","76-0HZJ-EEFIB","Ez GunsSling Universal Non-Swivel Gunsling for Rifles,Shotguns and Favorite Firearm (Woodgrain Brown)","1","amazon.com","Standard Orders","Amazon","MADISON","AL","35757-8833","MarketplaceFacilitator","26.95","2.16","0","0","0","0","0","0","0","0","-2.16","-4.04","-5.14","0","0","17.77"
"Feb 22, 2022 11:07:17 PM PST","15513157721","FBA Inventory Fee","2202141QH4","","FBA Removal Order: Return Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.52","-0.52"
"Feb 22, 2022 11:08:45 PM PST","15513157721","FBA Inventory Fee","2202141QHT","","FBA Removal Order: Return Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.52","-0.52"
"Feb 23, 2022 7:20:29 AM PST","15513157721","Order","114-5108576-8557065","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","2","amazon.com","Standard Orders","Amazon","BARTOW","WV","24920-8004","MarketplaceFacilitator","53.90","3.24","3.85","0","0","0","0","0","-3.85","0","-3.24","-8.08","-10.28","0","0","35.54"
"Feb 23, 2022 7:32:16 AM PST","15513157721","Order","113-0936536-2642627","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","CONCORD","NC","28027-4522","MarketplaceFacilitator","26.95","1.89","2.99","0.21","0","0","0","0","0","0","-2.10","-4.04","-8.13","0","0","17.77"
"Feb 23, 2022 9:04:17 AM PST","15513157721","Order","112-8169285-0389854","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","ROGERS","AR","72758","MarketplaceFacilitator","26.95","2.56","0","0","0","0","0","0","0","0","-2.56","-4.04","-5.14","0","0","17.77"
"Feb 23, 2022 9:09:48 AM PST","15513157721","Order","114-6285559-2673013","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","PHILIPPI","WV","26416-7507","MarketplaceFacilitator","26.95","1.49","0","0","0","0","0","0","-2.16","0","-1.49","-3.72","-5.14","0","0","15.93"
"Feb 23, 2022 11:30:07 AM PST","15513157721","Order","112-1366283-5656262","76-0HZJ-EEFIB","Ez GunsSling Universal Non-Swivel Gunsling for Rifles,Shotguns and Favorite Firearm (Woodgrain Brown)","1","amazon.com","Standard Orders","Amazon","CARSON CITY","NV","89703-2006","MarketplaceFacilitator","26.95","2.05","0","0","0","0","0","0","0","0","-2.05","-4.04","-5.14","0","0","17.77"
"Feb 23, 2022 12:05:49 PM PST","15513157721","Order","111-9818560-1972223","10-LYV7-1U7J","Ez GunsSling Universal Non-Swivel Gunsling for Rifles,Shotguns and Favorite Firearm (Game Camouflage)","1","amazon.com","Standard Orders","Amazon","SWEET HOME","OR","97386-9529","","26.95","0","0","0","0","0","0","0","0","0","0","-4.04","-3.07","0","0","19.84"
